id,title,price,sold_quantity,available_quantity,condition,site_id,category_id
MLA1390903113,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,43906.17,100,1,new,MLA,MLA352001
MLA868094225,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,39399,500,1,new,MLA,MLA352001
MLA1143737218,Google Chromecast With Google Tv De Voz 4.ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,53090.73,500,50,new,MLA,MLA352001
MLA1169331764,Google Chromecast 2.ª Generación Full Hd 256mb Negro Con 512mb De Memoria Ram,42290.73,25,500,new,MLA,MLA352001
MLA1485847292,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb - Control De Voz,45599.99,25,1,new,MLA,MLA352001
MLA1469960346,Onn Uhd Streaming 4k 2 Gb Ram Google Tv 2023 Color Negro Tipo De Control Remoto Control De Voz,39020,50,1,new,MLA,MLA352001
MLA1383560641,Google Chromecast 3ra Gen,36427.11,200,1,new,MLA,MLA352001
MLA1199951609,Google Chromecast With Google Tv De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,67899,250,1,new,MLA,MLA352001
MLA1419595652,Xiaomi Mi Box S Mdz-22-ab - Negro - 8 Gb - 2 Gb - Control De Voz,72199,1,1,new,MLA,MLA352001
MLA1390283187,Xiaomi Stick 4k Mdz-27-aa Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,54990,0,1,new,MLA,MLA352001
MLA1121605607,Google Chromecast With Google Tv De Voz 4.ª Generación 4k 8gb Sunrise Con 2gb De Memoria Ram,69999,50,500,new,MLA,MLA352001
MLA1506087552, Google Chromecast  3 Full Hd Media Streaming Negro Carbón Color Carbón,49999,1,150,new,MLA,MLA352001
MLA1377544149,Google Chromecast 3.ª Generación Ga00439 - Carbón,36599,200,1,new,MLA,MLA352001
MLA1199943621,Google Chromecast 3 Gen Smart Tv Hdmi Full Hd Usb Pcreg,43799.27,500,1,new,MLA,MLA352001
MLA1277635992,Google Chromecast Hd Con Google Tv Y C Remoto,49990,500,1,new,MLA,MLA352001
MLA1143904639,Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,74599,25,1,new,MLA,MLA352001
MLA1391264291,Android Tv Stick Control De Voz Full Hd 16gb Con 2gb De Ram,44999,5,1,new,MLA,MLA352001
MLA1466089482,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,49999,50,1,new,MLA,MLA352001
MLA1384400383,Google Chromecast Hd,43959,4,1,new,MLA,MLA352001
MLA1374858831,Android Tv Stick Control De Voz Full Hd 16gb Con 2gb De Ram,37999,5,1,new,MLA,MLA352001
MLA1382825071,Google Chromecast Ultra 4k Negro,36147.06,25,1,new,MLA,MLA352001
MLA1131067350,Google Chromecast 4 Control De Voz 4k 8gb En Caja Con Fuente,62999,500,50,new,MLA,MLA352001
MLA1128238985,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,87999,5,1,new,MLA,MLA352001
MLA1510951068,Google Chromecast 4 Tv Hd 8gb 2gb Ram Google Tv,49999,5,50,new,MLA,MLA352001
MLA1390229619,Google Chromecast Full Hd Google Tv Control Remoto 4ta Gen,59999,2,150,new,MLA,MLA352001
MLA897935288,Google Chromecast 3 Generacion Nuevo En Caja Hdmi ,40999,200,50,new,MLA,MLA352001
MLA1381082659,Tv Stick Realme 4k Smart Tv Stick Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,68398.8,5,1,new,MLA,MLA352001
MLA1391381637,Google Chromecast 3 Hdmi Streaming Media Player Negro Color,36425,5,50,new,MLA,MLA352001
MLA886507539,Google Chromecast Con Google Tv 4k + Control Remoto,99990,530,1500,new,MLA,MLA352001
MLA1128205818,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,58999,100,1,new,MLA,MLA352001
MLA1382798627,Google Chromecast Ultra 4k Negro,38392.88,5,1,new,MLA,MLA352001
MLA908010138,Chromecast 4 Smart Tv Netflix Googletv 4k Hdr Control Remoto,53049,150,1,new,MLA,MLA352001
MLA1140062600,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Netflix Amazon,59899,200,1,new,MLA,MLA352001
MLA1365631869,Chromecast 4 Google Tv Full Hd En Caja Con Cargador Original,49999,500,100,new,MLA,MLA352001
MLA1400819690,Google Chromecast Google Tv Control Voz 4k 8gb Snow 2gb Ram,53999,25,50,new,MLA,MLA352001
MLA1366673751,Google Chromecast Google Tv Control Voz 4k 8gb Snow 2gb Ram,79999,5,50,new,MLA,MLA352001
MLA1390464318,Google Chromecast 4° Generacion Full Hd 8gb Control Remoto,49999,50,1,new,MLA,MLA352001
MLA1200256292, Chromecast With Google Tv  De Voz 4k 8gb Sky Blue 2gb Ram,67819,5,1,new,MLA,MLA352001
MLA1104749278, Google Chromecast 3rd Generation  Full Hd  Carbón,69990,50,500,new,MLA,MLA352001
MLA1386035229,Google Chromecast 4 Google Tv 4ª Gen 4k Con Cargador Usb,59700,4,1,new,MLA,MLA352001
MLA1385959430,Google Chromecast 2da Generación Fhd 256mb Negro Refabricado,39999,4,1,new,MLA,MLA352001
MLA1385864671,Google Chromecast Tv Hd 4° Gen 8gb 60fps Hdmi Blanco Ga03131,49890.0,25,1,new,MLA,MLA352001
MLA1164049535,Tv Box Nvidia Shield Tv Pro Versión 2019 Control De Voz 4k 16gb Negro Con 3gb De Memoria Ram,349999,25,1,new,MLA,MLA352001
MLA1480253468,Chromecast tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto Funko pop!,59900,5,1,new,MLA,MLA352001
MLA1126547371,Google Chromecast 3.ª Generación Full Hd Carbón Ga00439,50479,5,1,new,MLA,MLA352001
MLA1460799282,Chromecast Google Tv Chrome Ga01919 De Voz 4k 8gb 2gb Snow,54999,3,1,new,MLA,MLA352001
MLA1510682132,Google Chromecast 4 Tv Hd 8gb 2gb Ram Google Tv,72498.55,4,50,new,MLA,MLA352001
MLA923932470, Chromecast Google Tv 4k Voz 8gb Y 2gb Ram Original Pcreg,55999.3,250,150,new,MLA,MLA352001
MLA1380404989,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,44500,3,1,new,MLA,MLA352001
MLA1376024780,Google Chromecast 4k With Google Tv Control De Voz 8gb Snow,80000,5,1,new,MLA,MLA352001
MLA1345282920, Apple Tv 4k (wifi) A2737 Control De Voz 3.ª Generación 2022 4k 64gb Negro,200999,5,1,new,MLA,MLA352001
MLA1150782472, Apple Tv 4k A2169 Control De Voz 2.ª Generación 2021 4k 64gb Negro,191083,5,1,new,MLA,MLA352001
MLA1499376460,"Apple Tv 4k Mxh02ll/a 64gb Chip A12 Bionic Ethernet Wifi Y Bluetooth , Control Por Voz Siri Remote",165000,4,1,new,MLA,MLA352001
MLA1486268388, Apple Tv Hd A1625 Control De Voz 4.ª Generación 2015 Full Hd 32gb Negro Con 2gb De Memoria Ram,140000,1,1,new,MLA,MLA352001
MLA906172394,Apple Tv 4k 32gb Negro 1.ª Generación 2017,148500,0,1,new,MLA,MLA352001
MLA1453365954, Apple Tv 4k A2169 Control De Voz 2.ª Generación 2021 4k 32gb Negro,232749.05,2,1,new,MLA,MLA352001
MLA1130556918, Apple Tv A1469 Estándar 3.ª Generación Rev. A Full Hd 8gb Negro Con 512mb De Memoria Ram,45000,2,1,new,MLA,MLA352001
MLA1308421889, Apple Tv 4k De Voz 2.ª Generación 2021 4k 32gb Negro,239999,2,1,new,MLA,MLA352001
MLA1106928063,Apple Tv 4k 64gb 2nd Generation Mxgy2ll/a,299999,5,1,new,MLA,MLA352001
MLA1113585170,Apple Tv 4k 64gb Negro 1.ª Generación 2017,159990,5,500,new,MLA,MLA352001
MLA1106915129,Apple Tv 4k 2nd Gen 64gb Hbo Max Prime Video Disney+ Netflix,199999,1,1,new,MLA,MLA352001
MLA1308281824, Apple Tv 4k   2.ª Generación 2021 4k 32gb Negro,384999,0,1,new,MLA,MLA352001
MLA1113197728,Soporte Para Apple Tv 4 5 6 Gen + Soporte Control Remoto,3800,5,500,new,MLA,MLA352001
MLA1113710340,Apple Tv 4k 64gb 5th Gen Prime Video Netflix Control X Voz,199990,25,500,new,MLA,MLA352001
MLA1384738301,Apple Tv Hd 1080p 2021 32gb A1625 Orig Sellado Gtia Ofic,140999,0,1,new,MLA,MLA352001
MLA1150232460, Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,263063,0,1,new,MLA,MLA352001
MLA879232016,Soporte Para Apple Tv Decodificadores Tgw,13980,500,1,new,MLA,MLA352001
MLA1106966898,Apple Tv 4k 2nd Gen 64gb Netflix Prime Video Disney+,299999,0,1,new,MLA,MLA352001
MLA1150187048, Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,357723,0,1,new,MLA,MLA352001
MLA1106915169,Convertidor Smart Tv Apple Tv 4k 2nd Gen 64gb,299999,5,1,new,MLA,MLA352001
MLA1141318811,Convertidor A Smart Tv Apple Tv Resolucion 4k 32gb ,189990,0,500,new,MLA,MLA352001
MLA1113738408,Apple Tv 4k 64gb 5th Gen Hbo Netflix Prime Video Spotify,119999,5,500,new,MLA,MLA352001
